code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,sl,om,re_entries
SRE_SEPARATE_LEG_SL_1,NIFTY,2,09:15:00,15:24:00,09:33:00,2min,sell,100,0.3SD,0
SRE_SEPARATE_LEG_SL_2,NIFTY,2,09:15:00,15:24:00,09:33:00,2min,sell,150,0.5SD,0
SRE_SEPARATE_LEG_SL_3,NIFTY,2,09:15:00,15:24:00,09:33:00,2min,sell,200,1SD,0
SRE_SEPARATE_LEG_SL_1,NIFTY,3,09:15:00,15:24:00,09:33:00,2min,sell,100,0.3SD,0
SRE_SEPARATE_LEG_SL_2,NIFTY,3,09:15:00,15:24:00,09:33:00,2min,sell,150,0.5SD,0
SRE_SEPARATE_LEG_SL_3,NIFTY,3,09:15:00,15:24:00,09:33:00,2min,sell,200,1SD,0
SRE_SEPARATE_LEG_SL_1,SENSEX,2,09:15:00,15:24:00,09:33:00,2min,sell,100,0.3SD,0
SRE_SEPARATE_LEG_SL_2,SENSEX,2,09:15:00,15:24:00,09:33:00,2min,sell,150,0.5SD,0
SRE_SEPARATE_LEG_SL_3,SENSEX,2,09:15:00,15:24:00,09:33:00,2min,sell,200,1SD,0
