code,index,dte,entry_time,exit_time,last_trade_time,trade_interval,orderside,method,sl,om,re_entries,till_time
NRE_CC_RE_TillTime_18,SENSEX,1,09:40:00,15:26:00,09:47:00,10min,sell,HL,25,0.2,2,13:00:00
NRE_CC_RE_TillTime_19,SENSEX,1,09:50:00,15:26:00,09:57:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_20,SENSEX,1,09:50:00,15:26:00,09:57:00,10min,sell,HL,20,0.2,2,13:00:00
NRE_CC_RE_TillTime_21,SENSEX,1,09:50:00,15:26:00,09:57:00,10min,sell,HL,25,0.2,2,13:00:00
NRE_CC_RE_TillTime_22,SENSEX,1,10:00:00,15:26:00,10:07:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_23,SENSEX,1,10:00:00,15:26:00,10:07:00,10min,sell,HL,20,0.2,2,13:00:00
NRE_CC_RE_TillTime_24,SENSEX,1,10:00:00,15:26:00,10:07:00,10min,sell,HL,25,0.2,2,13:00:00
NRE_CC_RE_TillTime_25,SENSEX,1,10:05:00,15:26:00,10:12:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_26,SENSEX,1,10:05:00,15:26:00,10:12:00,10min,sell,HL,20,0.2,2,13:00:00
NRE_CC_RE_TillTime_27,SENSEX,1,10:05:00,15:26:00,10:12:00,10min,sell,HL,25,0.2,2,13:00:00
NRE_CC_RE_TillTime_28,SENSEX,1,10:10:00,15:26:00,10:17:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_29,SENSEX,1,10:10:00,15:26:00,10:17:00,10min,sell,HL,20,0.2,2,13:00:00
NRE_CC_RE_TillTime_30,SENSEX,1,10:10:00,15:26:00,10:17:00,10min,sell,HL,25,0.2,2,13:00:00
NRE_CC_RE_TillTime_31,SENSEX,1,10:15:00,15:26:00,10:22:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_32,SENSEX,1,10:15:00,15:26:00,10:22:00,10min,sell,HL,20,0.2,2,13:00:00
NRE_CC_RE_TillTime_33,SENSEX,1,10:15:00,15:26:00,10:22:00,10min,sell,HL,25,0.2,2,13:00:00
NRE_CC_RE_TillTime_34,SENSEX,1,10:20:00,15:26:00,10:27:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_35,SENSEX,1,10:20:00,15:26:00,10:27:00,10min,sell,HL,20,0.2,2,13:00:00
NRE_CC_RE_TillTime_36,SENSEX,1,10:20:00,15:26:00,10:27:00,10min,sell,HL,25,0.2,2,13:00:00
NRE_CC_RE_TillTime_37,SENSEX,1,10:25:00,15:26:00,10:32:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_38,SENSEX,1,10:25:00,15:26:00,10:32:00,10min,sell,HL,20,0.2,2,13:00:00
NRE_CC_RE_TillTime_39,SENSEX,1,10:25:00,15:26:00,10:32:00,10min,sell,HL,25,0.2,2,13:00:00
NRE_CC_RE_TillTime_40,SENSEX,1,10:30:00,15:26:00,10:37:00,10min,sell,HL,15,0.2,2,13:00:00
NRE_CC_RE_TillTime_41,SENSEX,1,10:30:00,15:26:00,10:37:00,10min,sell,HL,20,0.2,2,13:00:00
NRE_CC_RE_TillTime_42,SENSEX,1,10:30:00,15:26:00,10:37:00,10min,sell,HL,25,0.2,2,13:00:00
